SOURCE_ID,RA,DEC,pmRA,pmDE,e_pmRA,e_pmDE,BTmag,e_BTmag,VTmag,e_VTmag,r,err_r,g,err_g,i,err_i,J,e_J,H,e_H,K,e_K,Qflg,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,proba,Teff,e_Teff,Lbol,e_Lbol
349,52.04613765,27.30722344,20.0,-47.4,1.7,1.7,11.756,0.088,10.931,0.072,10.587,0.027000000700354576,11.101,0.044,10.376,0.039,9.501,0.024,9.211,0.033,9.1,0.02,AAA,9.038,0.025,9.072,0.022,9.044,0.029,8.959,0.468,0.991528145678325,5500.0,125.0,0.80046415,0.13918945
469,52.40980235,24.510457,22.7,-42.8,2.3,2.5,15.325,0.94,11.804,0.18,11.892,0.1,12.595,0.021,11.565,0.061,10.318,0.026,9.856,0.03,9.698,0.018,AAA,9.646,0.022,9.655,0.021,9.648,0.047,,,0.938473158261496,4750.0,125.0,0.32073525,0.059427872
604,52.81646668,25.25546943,22.2,-45.3,0.8,0.8,8.44,0.016,8.165,0.013,9.179,0.07100000232458115,9.751,0.105,8.417,0.095,7.587,0.019,7.507,0.021,7.457,0.018,AAA,7.416,0.026,7.45,0.021,7.445,0.018,7.273,0.118,0.998631356043176,7250.0,125.0,6.8874235,1.1645863
630,52.89010851,26.26548691,20.4,-37.9,2.2,2.4,11.62,0.09,10.75,0.068,10.577,0.1,11.047,0.041,10.367,0.012,9.514,0.02,9.222,0.022,9.068,0.017,AAA,9.048,0.022,9.097,0.02,9.059,0.031,8.7,0.419,0.973435369219126,5750.0,125.0,0.85153997,0.15070865
784,53.30782936,23.00641262,19.5,-49.2,2.5,2.6,13.42,0.38,11.535,0.118,11.668,0.1,12.441,0.06,11.377,0.042,10.259,0.02,9.787,0.021,9.669,0.014,AAA,9.608,0.024,9.663,0.02,9.662,0.045,,,0.956638432622489,5000.0,125.0,0.36470547,0.06943537
1144,54.26671191,29.3987394,26.7,-42.7,1.9,2.0,11.719,0.1,10.7,0.068,10.324,0.07699999958276749,10.935,0.022,10.085,0.026,9.118,0.022,8.762,0.026,8.676,0.018,AAA,8.619,0.023,8.66,0.022,8.683,0.027,,,0.483988695534813,5250.0,125.0,1.0396339,0.18149328
1258,54.59406769,22.49968173,19.4,-44.0,1.0,1.0,10.824,0.047,10.107,0.036,9.978,0.1,10.485,0.039,9.8,0.027,9.018,0.03,8.775,0.023,8.696,0.018,AAA,8.643,0.022,8.693,0.019,8.685,0.03,,,0.997711044468232,6000.0,125.0,1.407963,0.24421795
1287,54.66966608,22.65961207,19.5,-45.6,0.8,0.7,6.685,0.014,6.699,0.01,,,,,,,6.641,0.026,6.675,0.017,6.672,0.021,AAA,6.658,0.038,6.668,0.02,6.747,0.016,6.624,0.095,0.998700086857269,9000.0,125.0,35.11885,5.698824
1309,54.73691529,24.56979838,18.1,-43.8,1.7,1.8,11.32,0.072,10.613,0.057,10.356,0.02800000086426735,10.859,0.067,10.168,0.064,9.358,0.029,9.053,0.032,9.041,0.02,AAA,8.919,0.024,8.962,0.021,8.932,0.031,8.666,0.434,0.982527203633936,5750.0,125.0,0.98756176,0.17149796
1326,54.77801595,24.70287014,21.5,-46.5,1.3,1.1,7.148,0.015,7.104,0.01,,,,,,,6.979,0.024,7.025,0.038,7.032,0.02,AAA,6.98,0.035,7.015,0.021,7.001,0.017,6.338,0.072,0.992442693230487,9250.0,125.0,26.294682,4.2274013
1330,54.78802303,24.36779793,19.9,-41.8,1.2,1.2,10.512,0.038,9.884,0.032,9.697,0.1,10.271,0.089,9.556,0.047,8.728,0.024,8.54,0.063,8.434,0.024,AAA,8.358,0.023,8.371,0.02,8.339,0.023,8.325,0.312,0.989871313256897,6000.0,125.0,1.8234472,0.31956932
1341,54.80500695,21.84324976,20.6,-42.4,1.1,1.0,7.35,0.015,7.272,0.011,8.847,-0.0,,,8.103,0.055,7.06,0.018,7.059,0.016,7.052,0.021,AAA,7.067,0.03,7.081,0.019,7.098,0.018,7.0,0.1,0.993580775743779,8750.0,125.0,18.233175,2.9911656
1343,54.80613783,24.46651921,20.2,-44.0,1.6,1.7,11.095,0.058,10.488,0.051,10.207,0.1,10.719,0.045,10.046,0.038,9.232,0.023,8.999,0.033,8.905,0.022,AAA,8.813,0.023,8.834,0.021,8.834,0.029,8.835,0.444,0.992099934394126,5750.0,125.0,1.1136457,0.19360028
